"gene_reject","adj_pvalues","mu_hat","sd","statistic","regulate"
NA,6.83624995594721e-05,-0.255001580891632,0.539610217512797,-3.98191406177122,"Down"
NA,6.35935841256836e-05,-0.444797919908015,0.937202866306785,-3.99906362505232,"Down"
NA,0.00718102626233309,0.224191347429701,0.702692546857647,2.6883305931457,"Up"
NA,0.00612599377301534,0.164352101517123,0.505244640446743,2.74096014496079,"Up"
NA,0.00121451986305865,0.134473806392998,0.350213144388429,3.23544804469068,"Up"
NA,7.42212165906046e-07,0.309908583794232,0.527544816896814,4.94997971623317,"Up"
NA,0.000125666168264127,0.311859425612317,0.685244021766045,3.83480066212574,"Up"
NA,0.000566719584831311,-0.165841205879566,0.405389588862696,-3.44706148775493,"Down"
NA,0.00798930809853615,0.149718767640446,0.475605133873977,2.65252132523882,"Up"
NA,4.76503114192845e-05,-0.184465442535844,0.382194725126491,-4.06686263466315,"Down"
NA,1.06047451534234e-07,0.331476083866924,0.525403301839428,5.31604411146673,"Up"
NA,5.41482419634199e-07,0.348312697882034,0.585698591382415,5.01099883700568,"Up"
NA,0.0080123648950818,-0.173564051174203,0.551555739313368,-2.65154831360058,"Down"
NA,0.00681028045031198,-0.288360906202309,0.897926327259918,-2.70598167201994,"Down"
NA,0.00019002016683437,0.176851390089894,0.399304725155089,3.73192753958297,"Up"
NA,5.42572819692441e-06,-0.385922356913247,0.715064842228369,-4.54761496878309,"Down"
NA,0.00130158855736491,-0.237663914380917,0.622768225529036,-3.21562927612722,"Down"
NA,0.000282909694637376,-0.0977437739457701,0.226858926984144,-3.63046625324167,"Down"
NA,2.7393961615737e-06,-0.223627401994927,0.401820631331982,-4.68945055496356,"Down"
NA,0.00047055802216425,0.126464752093541,0.304723246886671,3.49697948238293,"Up"
NA,7.27934746083471e-05,0.171599146453341,0.364490200135397,3.96696566444848,"Up"
NA,0.00324766476323463,-0.14157645220144,0.40531277969938,-2.94326863191703,"Down"
NA,0.00383301986706986,-0.181538056066059,0.529006072544286,-2.89158656078724,"Down"
NA,1.61697730106192e-05,-0.382362892624703,0.747161054161687,-4.31211849575806,"Down"
NA,0.000269612481429875,0.141760608137715,0.327899519019548,3.64287242529849,"Up"
NA,0.00615059530048955,0.0920902845676486,0.28323636762632,2.7396429947343,"Up"
NA,0.00670509610519067,-0.172989131965643,0.537644220709197,-2.71114666340418,"Down"
NA,0.000625721884347261,-0.112682248345682,0.277607734344424,-3.42021270978339,"Down"
NA,0.00295152043361138,0.155171749689256,0.439829700965161,2.97274240593195,"Up"
NA,0.00880628191456443,-0.166867231901264,0.53676529900857,-2.61948432738189,"Down"
NA,0.0019873642655083,0.0991876565132937,0.270290815674961,3.09211412657262,"Up"
NA,0.00369962886047242,-0.153418793516068,0.445354497750295,-2.90269827455795,"Down"
NA,0.00650325840353188,-0.148587789247609,0.460088567931411,-2.72126510835663,"Down"
NA,0.00807871275292429,0.192639848257037,0.612819129108686,2.64876231271802,"Up"
NA,0.000722035936396652,-0.34397863954598,0.857247478849621,-3.38107210239613,"Down"
NA,0.0053691388654252,0.0971035963188203,0.293896021792243,2.78400994034154,"Up"
NA,0.00227239755389694,-0.148932008549215,0.411166020730362,-3.05210875117191,"Down"
NA,3.58896112601718e-06,0.29476368029919,0.535993469667893,4.63386787050332,"Up"
NA,0.00208563252909726,-0.210838944757761,0.577225284271557,-3.07775936875205,"Down"
NA,0.000920863748971522,-0.502475924170044,1.27772581258368,-3.31365098268663,"Down"
NA,0.00549770244671597,-0.291535446838267,0.884810064986802,-2.77632617039203,"Down"
NA,0.00119252697671623,0.137013135385378,0.356252326252261,3.24066150471167,"Up"
NA,0.000242215199417418,0.122281987346373,0.280726726072384,3.67035356539769,"Up"
NA,0.00663895023943729,-0.271237241334317,0.841975599266738,-2.71443213026188,"Down"
NA,5.53684936756668e-06,0.277308699347107,0.514300494266144,4.54334510690606,"Up"
NA,0.000608690232271413,0.137679799195499,0.338450406083162,3.42771226717649,"Up"
NA,3.76766914713295e-05,-0.368880921714338,0.754193603336721,-4.12128382033576,"Down"
NA,2.90771481262596e-08,0.404013409789185,0.613725639456019,5.54690448369203,"Up"
NA,0.000324410043825958,0.136653924914995,0.320297965333058,3.59498517959303,"Up"
NA,0.000234677770957474,0.199935271185305,0.457990604306736,3.67842598539358,"Up"
NA,7.05108596839325e-05,-0.175782121768356,0.372662184894086,-3.9745553627553,"Down"
NA,0.002681959289153,0.33179643768983,0.931295571168219,3.00201844047628,"Up"
NA,0.00168489756868254,0.168845514715601,0.452980045969445,3.14079529149652,"Up"
NA,0.000377634842268474,0.173596174417449,0.411434261463404,3.55523956728619,"Up"
NA,0.00206713025637539,-0.192392470124412,0.526269441751912,-3.08041402347635,"Down"
NA,2.56239687811559e-05,0.377119539274856,0.754927595922868,4.20923243167,"Up"
NA,0.00439210303371175,0.191985242371439,0.567904709085663,2.8485349400709,"Up"
NA,1.24798276257816e-05,0.122370636193397,0.236004960363815,4.36903235768824,"Up"
NA,0.00227580761468042,0.433011091831094,1.19561745151101,3.05165862927505,"Up"
NA,0.00357676420271675,0.239240520111276,0.691965807917046,2.91326020911122,"Up"
NA,0.00194998739608629,0.156712811226036,0.426273098768202,3.09774560623668,"Up"
NA,0.00212989286662048,-0.0922267754011263,0.253009190946892,-3.07149562321674,"Down"
NA,0.000212787522000252,0.310723899298325,0.706986924128905,3.70333032229557,"Up"
NA,8.511548249697e-08,0.369628581266011,0.581513078759306,5.35593419986214,"Up"
NA,1.42721663036144e-06,0.235674586210963,0.411898167322036,4.82116580915095,"Up"
