"miRNA_reject","adj_pvalues","mu_hat","sd","statistic","regulate"
"hsa-miR-192",2.27935469458793e-06,-0.403860000771431,0.837118486543481,-4.72693385852563,"Down"
"hsa-miR-365",1.54347404072548e-09,0.3791119072131,0.61501207705346,6.03975604859372,"Up"
"hsa-miR-141*",6.25293142145171e-06,0.144578410452065,0.313564107928065,4.51765140813212,"Up"
"hsa-miR-376a",1.04278190198607e-05,0.280358612490241,0.62315692243349,4.40810666381751,"Up"
"hsa-miR-522",4.38340788627195e-06,0.251193751899591,0.535934965885363,4.59232226218197,"Up"
"hsa-let-7g",3.44712733144689e-13,-0.570809899379159,0.768695420881998,-7.27566708803373,"Down"
"hsa-miR-376a",5.91146520447945e-07,0.455774097659802,0.894188593807417,4.99408730988303,"Up"
"hsa-miR-455-3p",1.05354848124254e-07,-0.355891732906461,0.655794098797008,-5.31723692478999,"Down"
"hsa-miR-27a",3.33015857443464e-07,0.435870919719656,0.836768763246992,5.10373424021145,"Up"
"hsa-miR-3149",7.67855706447354e-05,-0.319370189666141,0.791351537805086,-3.95421739323448,"Down"
"hsa-miR-3188",9.51185887912596e-15,-0.392030374198793,0.495905925673783,-7.74561730961113,"Down"
"hsa-miR-23a",1.65584393744675e-05,0.356382154989519,0.81075620260405,4.30686527147849,"Up"
"hsa-miR-4328",4.34543230670768e-07,-0.237521649669046,0.460548265716897,-5.05316717367391,"Down"
"hsa-miR-34a*",1.76640232365293e-05,-0.0647173013192139,0.147720783813478,-4.29254060720895,"Down"
"hsa-miR-376c",3.00126764348004e-06,0.374394837144634,0.785381055608837,4.67073305009035,"Up"
"hsa-miR-135b",2.30235201375638e-05,0.781640359256369,1.80908244627055,4.2333505506968,"Up"
"hsa-miR-145",2.58532841938669e-07,-0.755920739352057,1.43775739836268,-5.15141177366521,"Down"
"hsv1-miR-H18",6.56032296047333e-05,0.227137972559492,0.557529966063974,3.99169313110751,"Up"
"hsa-miR-361-5p",1.29683201223889e-09,0.393207428236116,0.634931489963211,6.06778890305993,"Up"
"hsa-miR-30c",8.44850136309211e-07,0.389578044591733,0.77508497477646,4.9247112525498,"Up"
"hsa-miR-30e",1.1614501073712e-09,0.431436573240767,0.694637060625046,6.08547698197304,"Up"
"hsa-let-7d",2.01434909837839e-08,0.397960846037892,0.694950598340705,5.61076434915869,"Up"
"hsa-miR-4259",1.38366787600458e-07,-0.130955215824048,0.243591327359696,-5.26740358783457,"Down"
"hsa-miR-4270",3.71880025108543e-06,0.418853494025093,0.887042261987743,4.62650938431855,"Up"
"hsa-miR-188-5p",3.41135839526149e-06,0.341675637101394,0.720815231227114,4.64435784473635,"Up"
"hsa-miR-17*",1.83041835507238e-05,0.151859567613367,0.347267579160022,4.2846320881688,"Up"
"hsa-miR-150*",3.93950589740883e-07,-0.225331215724926,0.435301237775826,-5.0718578653003,"Down"
"hsa-miR-3200-5p",1.97580731784597e-06,0.0506461297438622,0.104339969099272,4.75588315351044,"Up"
"hsa-miR-188-5p",2.11308415754214e-05,0.290935967954179,0.670315256401869,4.25259405931355,"Up"
"hsa-miR-3926",1.64373888594335e-08,-0.241044020935104,0.418314761198498,-5.64584290688781,"Down"
"hsa-miR-3190",9.85043533098179e-07,-0.112952433952734,0.226106857598489,-4.89460304438756,"Down"
"hsa-let-7a",6.03228768291128e-09,-0.347609652810648,0.585616747347996,-5.81586017072103,"Down"
"hsa-miR-126",4.54420941189774e-08,-0.41786621556611,0.748724507356269,-5.46828105039049,"Down"
"hsa-miR-192",1.53164359972013e-06,-0.543294168972335,1.10736532450923,-4.80706218537748,"Down"
"hsa-miR-126*",1.68787656279989e-06,-0.124090355105361,0.253954426659529,-4.78759998015572,"Down"
"hsa-miR-373*",1.67321191086397e-05,-0.0536941504749081,0.122217743202187,-4.3045557016435,"Down"
"hsa-miR-19b-1*",1.02268487506821e-05,0.171527810013125,0.380893086957812,4.41232068121781,"Up"
"hsa-miR-146a",6.5421855700588e-06,-0.465938555765423,1.01268457839423,-4.50806396172966,"Down"
"hsa-miR-107",4.07610708464844e-07,0.315953928174017,0.611150703055415,5.06536867181928,"Up"
"hsa-miR-3121-3p",2.75183113031759e-05,-0.0825542757346448,0.192904008507064,-4.1930876024798,"Down"
"hsa-miR-29a",3.59606876027519e-23,0.875376817458224,0.865076264941579,9.91462428149688,"Up"
"hsa-miR-30c",5.09823982797147e-06,0.385990998482978,0.82924126235648,4.56070402914535,"Up"
"hsa-miR-23a*",1.46492118240621e-06,0.151598201972202,0.308422874538206,4.81596238685315,"Up"
"hsa-miR-150*",3.68833870371273e-08,-0.266151582478866,0.473690583225609,-5.50515964972849,"Down"
"hsa-miR-4291",3.61506259122588e-07,0.221831417929034,0.427165098783449,5.08818519482727,"Up"
"hsa-miR-3198",1.13977630187401e-07,0.368659071554704,0.681156866503416,5.30289957432406,"Up"
